,60.00%,80.00%,90.00%,99.00%
0,0,0,0,0
10,2.464472,1.727615,2.906203,13.200714
20,1.508931,5.273100,3.877781,18.941955
30,1.173587,5.967760,4.808220,19.114258
40,1.460056,5.336528,4.594682,21.673578
50,1.348824,4.567538,6.781222,24.743792
60,1.378442,4.536005,8.126306,27.545028
70,1.262531,4.634412,7.850929,29.127576
80,1.187050,4.258352,7.588783,30.476537
90,1.221174,4.018299,7.372032,32.555096
100,1.314367,3.851389,8.781514,33.033342
110,1.335764,3.882966,9.529213,33.181532
120,1.300450,4.069274,10.176075,32.186957
130,1.294534,4.163865,9.887645,30.888934
140,1.293116,4.302886,9.386170,30.232513
150,1.261004,4.260742,8.978338,30.383174
160,1.278805,4.219905,8.905316,31.461864
170,1.239793,4.147762,9.010117,33.277812
180,1.232631,4.082820,8.874819,34.811607
190,1.267639,3.928879,8.475260,36.480372
200,1.267473,3.780087,8.234784,38.033832
210,1.234826,3.790571,8.012958,39.242605
220,1.271572,3.746685,7.732861,40.740233
230,1.249378,3.701631,7.485095,42.052852
240,1.240523,3.753790,7.365690,43.305228
250,1.236385,3.690010,7.245890,44.218030
260,1.245054,3.605368,7.085957,45.048361
270,1.236689,3.600937,7.344546,46.223833
280,1.259471,3.571469,7.711671,47.283454
290,1.261615,3.529660,7.755646,48.550738
300,1.287675,3.479254,7.538206,49.777077
310,1.292784,3.534224,7.353759,50.852716
320,1.288963,3.513809,7.207890,51.951161
330,1.287003,3.500965,7.208283,52.967469
340,1.279188,3.530115,7.082196,53.704767
350,1.271268,3.486993,6.944998,54.581192
360,1.267710,3.417707,6.805061,55.569178
370,1.265491,3.454036,6.756984,56.674393
380,1.286238,3.590105,6.725351,57.467540
390,1.331342,3.928192,6.809001,58.793494
400,1.322096,3.868267,6.976252,60.200089
410,1.308273,4.030513,6.837086,61.400990
420,1.300290,4.276935,6.828971,62.320288
430,1.308057,4.227166,6.759307,63.154076
440,1.296477,4.166818,6.977880,63.774627
450,1.284571,4.240540,7.113981,64.412137
460,1.287066,4.249518,7.249944,64.707079
470,1.321224,4.192259,7.242325,64.836934
480,1.306345,4.143162,7.118779,65.198860
490,1.290600,4.093692,7.052434,65.484248
500,1.282506,4.062275,7.049241,65.703505
510,1.269858,4.031196,6.957062,65.752398
520,1.267889,3.970763,6.927292,65.742538
530,1.255490,3.908123,6.825222,65.579112
540,1.265819,3.869487,6.748415,65.381816
550,1.282569,3.834173,6.708551,65.504433
560,1.286675,3.795629,6.628530,65.501032
570,1.295492,3.821223,6.633665,65.640782
580,1.293965,3.833312,6.724233,65.988209
590,1.303192,3.810359,6.849689,66.415499
600,1.304097,3.778639,7.037825,66.805897
610,1.304283,3.821034,7.311706,66.998922
620,1.293496,3.863894,7.529373,67.041281
630,1.313793,3.863766,7.697835,67.029863
640,1.303866,3.824331,7.695032,67.010827
650,1.296080,3.795297,7.650724,67.022224
660,1.286361,3.780000,7.603553,67.217352
670,1.309492,3.778523,7.512751,67.652783
680,1.314242,3.744878,7.479047,68.105184
690,1.306892,3.720822,7.380168,68.482570
700,1.306355,3.721255,7.365921,68.632371
