,60.0%,80.0%,90.0%,99.0%
0,0,0,0,0
10,0.668594,0.659162,0.748670,0.961689
20,0.552776,0.795472,0.845507,0.980645
30,0.482880,0.861414,0.886693,0.987058
40,0.545882,0.875999,0.867291,0.990371
50,0.535229,0.843945,0.894026,0.992211
60,0.537323,0.844771,0.911820,0.993582
70,0.519248,0.855493,0.919663,0.994436
80,0.518647,0.827806,0.923612,0.995137
90,0.514758,0.824386,0.920079,0.995687
100,0.539424,0.808602,0.927988,0.996116
110,0.547085,0.819984,0.934559,0.996466
120,0.550019,0.834744,0.940142,0.996767
130,0.551068,0.847140,0.936983,0.997008
140,0.555282,0.854972,0.937313,0.997221
150,0.556856,0.854598,0.928763,0.997404
160,0.560327,0.851499,0.929997,0.997565
170,0.551718,0.852205,0.934176,0.997710
180,0.553113,0.851143,0.935182,0.997836
190,0.563629,0.836427,0.920141,0.997954
200,0.567764,0.824036,0.923255,0.998053
210,0.560573,0.826850,0.918656,0.998149
220,0.569740,0.825625,0.911557,0.998230
230,0.568606,0.825767,0.906239,0.998308
240,0.569327,0.830954,0.908198,0.998380
250,0.567778,0.824737,0.905243,0.998444
260,0.570935,0.819378,0.899365,0.998505
270,0.569805,0.823324,0.903010,0.998558
280,0.575183,0.822134,0.906475,0.998609
290,0.575147,0.822166,0.909656,0.998657
300,0.578154,0.822865,0.899614,0.998702
310,0.579063,0.823730,0.896868,0.998744
320,0.581586,0.819935,0.890389,0.998783
330,0.582354,0.818443,0.888992,0.998820
340,0.581037,0.818704,0.886883,0.998854
350,0.580138,0.816468,0.884889,0.998888
360,0.579559,0.809753,0.882878,0.998918
370,0.578600,0.810441,0.885064,0.998948
380,0.583042,0.814172,0.884131,0.998975
390,0.590271,0.818918,0.887108,0.999001
400,0.588738,0.812203,0.889943,0.999026
410,0.584926,0.812258,0.884457,0.999050
420,0.582414,0.816606,0.885753,0.999073
430,0.583981,0.813075,0.885589,0.999094
440,0.581046,0.810148,0.888209,0.999115
450,0.578456,0.813630,0.890678,0.999134
460,0.580941,0.815681,0.893123,0.999154
470,0.582772,0.812743,0.895315,0.999171
480,0.580629,0.809530,0.890914,0.999189
490,0.577186,0.807295,0.887457,0.999205
500,0.577097,0.806346,0.889779,0.999221
510,0.573486,0.807306,0.887113,0.999236
520,0.573599,0.801789,0.888957,0.999252
530,0.569897,0.795312,0.885797,0.999265
540,0.569749,0.794247,0.884331,0.999279
550,0.573216,0.793140,0.884043,0.999292
560,0.574533,0.792483,0.882265,0.999305
570,0.576250,0.793790,0.884361,0.999317
580,0.577244,0.794968,0.886311,0.999328
590,0.578117,0.793181,0.888273,0.999340
600,0.577432,0.789165,0.890102,0.999351
610,0.577512,0.789254,0.891916,0.999361
620,0.573719,0.790650,0.893690,0.999372
630,0.575773,0.792724,0.895369,0.999382
640,0.574571,0.789666,0.895917,0.999392
650,0.572473,0.788404,0.895855,0.999401
660,0.570184,0.787709,0.896041,0.999410
670,0.573397,0.787254,0.892964,0.999419
680,0.572847,0.785634,0.893481,0.999427
690,0.571720,0.786075,0.887534,0.999436
700,0.572768,0.786646,0.889007,0.999444
710,0.572221,0.788138,0.888564,0.999451
720,0.573503,0.787967,0.890025,0.999459
730,0.572311,0.785348,0.890833,0.999466
740,0.571245,0.783857,0.891041,0.999474
750,0.570276,0.783812,0.890557,0.996928
760,0.568855,0.786175,0.888318,0.995434
770,0.568194,0.788946,0.889443,0.995494
780,0.567878,0.791696,0.889763,0.995552
790,0.569178,0.794290,0.891163,0.995607
800,0.570672,0.792127,0.890930,0.991793
810,0.570838,0.790018,0.889368,0.991037
820,0.572342,0.787075,0.888022,0.990596
830,0.571994,0.784718,0.889352,0.990022
840,0.571242,0.783059,0.890653,0.990141
850,0.570460,0.782645,0.891934,0.988342
860,0.569599,0.782382,0.890044,0.985618
870,0.571143,0.782163,0.888485,0.984005
880,0.572054,0.784084,0.889767,0.983396
890,0.573383,0.785099,0.889830,0.981074
900,0.572445,0.786960,0.890746,0.979984
910,0.571648,0.787329,0.889739,0.975888
920,0.571228,0.784926,0.886903,0.976148
930,0.570302,0.784243,0.884942,0.975506
940,0.571564,0.782202,0.884341,0.975763
950,0.570803,0.784254,0.884117,0.976026
960,0.571260,0.782711,0.885287,0.975568
970,0.570333,0.782448,0.885853,0.975821
980,0.567995,0.783128,0.885827,0.976087
990,0.567455,0.782025,0.886746,0.976305
1000,0.566487,0.782024,0.887121,0.976540
1010,0.567204,0.781590,0.888128,0.976774
1020,0.567893,0.779840,0.889226,0.975568
1030,0.566417,0.780769,0.890310,0.974159
1040,0.566104,0.781266,0.891358,0.974407
1050,0.565761,0.781645,0.892435,0.974654
1060,0.564690,0.783675,0.893414,0.974893
1070,0.565055,0.785476,0.894429,0.975130
1080,0.566188,0.785019,0.895389,0.975366
1090,0.565341,0.784536,0.895902,0.975588
1100,0.565579,0.785498,0.896316,0.975803
1110,0.565035,0.786757,0.896259,0.976024
1120,0.564972,0.785593,0.896736,0.976234
1130,0.566562,0.784019,0.896097,0.976446
1140,0.566622,0.783067,0.895593,0.976655
1150,0.566462,0.783298,0.895879,0.976860
1160,0.567113,0.782069,0.894506,0.977056
1170,0.567918,0.779371,0.893544,0.977251
1180,0.567406,0.780048,0.893922,0.977447
1190,0.568157,0.781855,0.893829,0.977640
1200,0.566965,0.783271,0.894716,0.977818
1210,0.566227,0.782305,0.895582,0.978002
1220,0.566659,0.780860,0.896409,0.978182
1230,0.564822,0.778476,0.897250,0.978361
1240,0.564462,0.778595,0.898095,0.978534
1250,0.562974,0.780264,0.898897,0.978706
1260,0.563419,0.779029,0.899715,0.978882
1270,0.566086,0.778229,0.900487,0.979043
1280,0.565993,0.779895,0.901285,0.979207
1290,0.567430,0.781546,0.902028,0.979372
1300,0.569182,0.781632,0.902791,0.979531
1310,0.571300,0.781327,0.903553,0.979687
1320,0.571928,0.781491,0.904253,0.979837
1330,0.571152,0.779092,0.904981,0.979991
1340,0.570931,0.778145,0.905711,0.980141
1350,0.570389,0.777499,0.906395,0.980283
1360,0.570572,0.778121,0.907063,0.980429
1370,0.569094,0.777392,0.907738,0.980576
1380,0.569670,0.778215,0.908406,0.980717
1390,0.568626,0.778848,0.908936,0.980853
1400,0.568460,0.778690,0.908930,0.980991
1410,0.568812,0.779494,0.909196,0.981123
1420,0.569073,0.781031,0.907830,0.981256
1430,0.567982,0.780608,0.906331,0.981387
1440,0.568872,0.778788,0.906788,0.981517
1450,0.568674,0.779043,0.906470,0.981643
1460,0.567443,0.779186,0.905479,0.981772
1470,0.567974,0.779675,0.904929,0.981900
1480,0.567785,0.780041,0.905262,0.982015
1490,0.567894,0.778680,0.905915,0.982138
1500,0.567532,0.779313,0.906523,0.982260
1510,0.567831,0.779805,0.907144,0.982381
1520,0.568339,0.778967,0.907788,0.982489
1530,0.567774,0.778777,0.908366,0.982603
1540,0.567103,0.778231,0.908965,0.982718
1550,0.568220,0.776446,0.909540,0.982830
1560,0.567837,0.776145,0.910116,0.982941
1570,0.568601,0.775771,0.910688,0.983046
1580,0.568845,0.775621,0.910295,0.983155
1590,0.568540,0.774935,0.908931,0.983260
1600,0.569097,0.774927,0.908234,0.983365
1610,0.568045,0.776277,0.906488,0.983467
1620,0.569331,0.775262,0.907061,0.983570
1630,0.569349,0.776063,0.907633,0.983670
1640,0.568804,0.775247,0.908197,0.983770
1650,0.569544,0.775840,0.908236,0.983870
1660,0.570186,0.775945,0.906012,0.983965
1670,0.568942,0.775875,0.905604,0.984062
1680,0.567857,0.776151,0.905188,0.984157
1690,0.567680,0.776965,0.903435,0.984250
1700,0.568569,0.777792,0.902028,0.984343
1710,0.569199,0.779081,0.901632,0.984435
1720,0.569074,0.779743,0.902162,0.984524
1730,0.568571,0.779351,0.901880,0.984617
1740,0.569078,0.780396,0.902000,0.984706
1750,0.568752,0.780935,0.901314,0.984791
1760,0.568025,0.780509,0.901698,0.984876
1770,0.568541,0.780593,0.900803,0.984962
1780,0.569208,0.780133,0.898930,0.985046
1790,0.568711,0.779086,0.897886,0.985131
1800,0.569264,0.780307,0.898464,0.985212
1810,0.570265,0.780394,0.898224,0.985297
1820,0.571929,0.779323,0.896943,0.985375
1830,0.571610,0.780478,0.895676,0.985456
1840,0.572221,0.780504,0.896107,0.985534
1850,0.572082,0.779240,0.896233,0.985614
1860,0.572025,0.779322,0.896787,0.985690
1870,0.571925,0.778527,0.897053,0.985766
1880,0.571434,0.779046,0.896568,0.985843
1890,0.570390,0.779449,0.896474,0.985922
1900,0.571017,0.780581,0.896955,0.985995
1910,0.571779,0.780213,0.896341,0.986064
1920,0.571766,0.781169,0.896552,0.986138
1930,0.572319,0.781199,0.896736,0.986211
1940,0.572790,0.780684,0.897268,0.986281
